,11: Star Wars: Episode IV - A New Hope (1977),12: Finding Nemo (2003),13: Forrest Gump (1994),14: American Beauty (1999),22: Pirates of the Caribbean: The Curse of the Black Pearl (2003),24: Kill Bill: Vol. 1 (2003),38: Eternal Sunshine of the Spotless Mind (2004),63: Twelve Monkeys (a.k.a. 12 Monkeys) (1995),77: Memento (2000),85: Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
5136,4.1,4.3,4.7,3.7,3.8,4.8,3.2,4.1,,4.4
918,4,2.3,4.6,,2.6,,4.4,,5,
2824,4.7,,4.8,,3.9,4.2,,,4.2,
860,4,3,3.8,,4.1,3.6,,2.8,4.1,
442,3.6,,4.2,3,2.2,4.2,2.2,2,4.5,5
3556,4.3,4.7,3.7,2,4.4,4.1,,,,4.3
5261,,,4.6,,3.5,1.7,,4,4.5,
2492,4.1,2.7,4.2,4.3,3.3,3.3,,4,3.2,4.6
4942,,2.4,3.3,5,4.2,4.6,4.4,,4.2,4.1
2267,,,3.9,,,4.4,2.6,,2.5,
